@timestamp,auth_token_hash,method,path,path_normalized,remote_ip,request_id,response_size,response_time_ms,sampling_flag,status,upstream,user_agent,user_id_hash,user_role,waf_action,waf_rule_id,label
2026-04-03 02:58:27+00:00,(empty),GET,/api/products/search?q=a&category=&brand=&min_price=0&max_price=999999999&page=1&page_size=20,/api/products/search,172.20.0.10,afe12f0ac96dd2329416e9ae44706025,2497.0,1301.0,0,200,172.20.0.12:8002,python-httpx/0.28.1,(empty),GUEST,0,0,0
2026-04-03 02:58:28+00:00,a995c6592247c498674c16c1d5b3884d77f2d0ce97edfa1eaae20c719b3acfe5,POST,/api/cart/,/api/cart,172.20.0.10,18ede6b06c800fa2cc8a3ecb980771f1,69.0,131.0,0,200,172.20.0.11:8004,python-httpx/0.28.1,b822f99a7142e909d1b0df5b7f73270e083a1900bc11003d8e4dfcf5f53f7f5e,USER,0,0,0
2026-04-03 02:58:29+00:00,a995c6592247c498674c16c1d5b3884d77f2d0ce97edfa1eaae20c719b3acfe5,GET,/api/cart/,/api/cart,172.20.0.10,23f35d2a4879c22abad37a3e99d6f22e,69.0,6.0,0,200,172.20.0.11:8004,python-httpx/0.28.1,b822f99a7142e909d1b0df5b7f73270e083a1900bc11003d8e4dfcf5f53f7f5e,USER,0,0,0
2026-04-03 02:58:30+00:00,(empty),GET,/api/products/2,/api/products/{id},172.20.0.10,18d85db62555bd2639618627366cc5a0,162.0,12.0,0,200,172.20.0.12:8002,python-httpx/0.28.1,(empty),GUEST,0,0,0
2026-04-03 02:58:32+00:00,a995c6592247c498674c16c1d5b3884d77f2d0ce97edfa1eaae20c719b3acfe5,GET,/api/cart/,/api/cart,172.20.0.10,ab890b76db16c4ab65f1752aa2ee0694,69.0,4.0,0,200,172.20.0.11:8004,python-httpx/0.28.1,b822f99a7142e909d1b0df5b7f73270e083a1900bc11003d8e4dfcf5f53f7f5e,USER,0,0,0
2026-04-03 02:58:32+00:00,(empty),GET,/api/products/2,/api/products/{id},172.20.0.10,dcdf51372fe1f58b659211475ea24ea1,162.0,8.0,0,200,172.20.0.12:8002,python-httpx/0.28.1,(empty),GUEST,0,0,0
2026-04-03 02:58:41+00:00,a995c6592247c498674c16c1d5b3884d77f2d0ce97edfa1eaae20c719b3acfe5,GET,/api/cart/,/api/cart,172.20.0.10,90eacdf4dfaf89779efafd3a2c1b9db1,69.0,5.0,0,200,172.20.0.11:8004,python-httpx/0.28.1,b822f99a7142e909d1b0df5b7f73270e083a1900bc11003d8e4dfcf5f53f7f5e,USER,0,0,0
2026-04-03 02:58:41+00:00,(empty),GET,/api/products/2,/api/products/{id},172.20.0.10,9c93bd9fe7675afa8f415f9407b08b9a,162.0,6.0,0,200,172.20.0.12:8002,python-httpx/0.28.1,(empty),GUEST,0,0,0
2026-04-03 02:58:41+00:00,(empty),GET,/api/inventory/2,/api/inventory/{id},172.20.0.10,5d5ccbf4957bcc864202b998a77668f6,30.0,141.0,0,200,172.20.0.14:8003,python-httpx/0.28.1,(empty),GUEST,0,0,0
2026-04-03 02:58:41+00:00,(empty),POST,/api/inventory/update,/api/inventory/update,172.20.0.10,5c9a71d42aa704632a3d689a8fce322d,30.0,48.0,0,200,172.20.0.14:8003,python-httpx/0.28.1,(empty),GUEST,0,0,0
2026-04-03 02:58:41+00:00,a995c6592247c498674c16c1d5b3884d77f2d0ce97edfa1eaae20c719b3acfe5,DELETE,/api/cart/,/api/cart,172.20.0.10,0047f304fdf201aff16f2d5f1cc4603c,25.0,8.0,0,200,172.20.0.11:8004,python-httpx/0.28.1,b822f99a7142e909d1b0df5b7f73270e083a1900bc11003d8e4dfcf5f53f7f5e,USER,0,0,0
2026-04-03 02:58:41+00:00,a995c6592247c498674c16c1d5b3884d77f2d0ce97edfa1eaae20c719b3acfe5,POST,/api/orders/,/api/orders,172.20.0.10,8f75398a9dfe00d89cab2a64f1876a8f,280.0,602.0,0,200,172.20.0.16:8005,python-httpx/0.28.1,b822f99a7142e909d1b0df5b7f73270e083a1900bc11003d8e4dfcf5f53f7f5e,USER,0,0,0
